# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	1	1389	+					dnaA		K5621_RS00005	1389		old_locus_tag=TUM17387_00010
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	1	1389	+	WP_100143522.1	WP_100143522.1		chromosomal replication initiator protein DnaA	dnaA		K5621_RS00005	1389	462	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	1405	2505	+					dnaN		K5621_RS00010	1101		old_locus_tag=TUM17387_00020
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	1405	2505	+	WP_028780941.1	WP_028780941.1		DNA polymerase III subunit beta	dnaN		K5621_RS00010	1101	366	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	2525	3607	+					recF		K5621_RS00015	1083		old_locus_tag=TUM17387_00030
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	2525	3607	+	WP_208184301.1	WP_208184301.1		DNA replication/repair protein RecF	recF		K5621_RS00015	1083	360	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	3624	6041	+					gyrB		K5621_RS00020	2418		old_locus_tag=TUM17387_00040
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	3624	6041	+	WP_221050125.1	WP_221050125.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		K5621_RS00020	2418	805	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	6171	7223	+							K5621_RS00025	1053		old_locus_tag=TUM17387_00050
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	6171	7223	+	WP_245003119.1	WP_245003119.1		HDOD domain-containing protein			K5621_RS00025	1053	350	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	7263	9332	-					glyS		K5621_RS00030	2070		old_locus_tag=TUM17387_00060
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	7263	9332	-	WP_221050126.1	WP_221050126.1		glycine--tRNA ligase subunit beta	glyS		K5621_RS00030	2070	689	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	9343	10248	-					glyQ		K5621_RS00035	906		old_locus_tag=TUM17387_00070
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	9343	10248	-	WP_028780936.1	WP_028780936.1		glycine--tRNA ligase subunit alpha	glyQ		K5621_RS00035	906	301	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	10358	10921	+							K5621_RS00040	564		old_locus_tag=TUM17387_00080
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	10358	10921	+	WP_028780935.1	WP_028780935.1		DNA-3-methyladenine glycosylase I			K5621_RS00040	564	187	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	11323	14499	-							K5621_RS00045	3177		old_locus_tag=TUM17387_00100
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	11323	14499	-	WP_221050127.1	WP_221050127.1		amidohydrolase family protein			K5621_RS00045	3177	1058	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	14600	15070	-							K5621_RS00050	471		old_locus_tag=TUM17387_00110
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	14600	15070	-	WP_221050128.1	WP_221050128.1		MOSC domain-containing protein			K5621_RS00050	471	156	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	15094	15339	-					tusA		K5621_RS00055	246		old_locus_tag=TUM17387_00120
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	15094	15339	-	WP_025011832.1	WP_025011832.1		sulfurtransferase TusA	tusA		K5621_RS00055	246	81	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	15672	16835	-					fadA		K5621_RS00060	1164		old_locus_tag=TUM17387_00130
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	15672	16835	-	WP_221050129.1	WP_221050129.1		acetyl-CoA C-acyltransferase FadA	fadA		K5621_RS00060	1164	387	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	16857	19007	-					fadB		K5621_RS00065	2151		old_locus_tag=TUM17387_00140
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	16857	19007	-	WP_028780930.1	WP_028780930.1		fatty acid oxidation complex subunit alpha FadB	fadB		K5621_RS00065	2151	716	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	19244	20566	+					pepQ		K5621_RS00070	1323		old_locus_tag=TUM17387_00150
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	19244	20566	+	WP_221051095.1	WP_221051095.1		Xaa-Pro dipeptidase	pepQ		K5621_RS00070	1323	440	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	20559	21173	+							K5621_RS00075	615		old_locus_tag=TUM17387_00160
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	20559	21173	+	WP_221050130.1	WP_221050130.1		YigZ family protein			K5621_RS00075	615	204	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	21237	22694	+							K5621_RS00080	1458		old_locus_tag=TUM17387_00170
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	21237	22694	+	WP_100143549.1	WP_100143549.1		TrkH family potassium uptake protein			K5621_RS00080	1458	485	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	22694	23221	+					hemG		K5621_RS00085	528		old_locus_tag=TUM17387_00180
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	22694	23221	+	WP_221050131.1	WP_221050131.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		K5621_RS00085	528	175	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	23503	23808	-							K5621_RS00090	306		old_locus_tag=TUM17387_00200
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	23503	23808	-	WP_039035694.1	WP_039035694.1		metalloregulator ArsR/SmtB family transcription factor			K5621_RS00090	306	101	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	24038	24580	+					hemG		K5621_RS00095	543		old_locus_tag=TUM17387_00210
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	24038	24580	+	WP_221050132.1	WP_221050132.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		K5621_RS00095	543	180	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	24627	26069	-							K5621_RS00100	1443		old_locus_tag=TUM17387_00220
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	24627	26069	-	WP_100143535.1	WP_100143535.1		TrkH family potassium uptake protein			K5621_RS00100	1443	480	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	26080	27489	-					trkA		K5621_RS00105	1410		old_locus_tag=TUM17387_00230
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	26080	27489	-	WP_100143536.1	WP_100143536.1		Trk system potassium transporter TrkA	trkA		K5621_RS00105	1410	469	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	27505	28797	-					rsmB		K5621_RS00110	1293		old_locus_tag=TUM17387_00240
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	27505	28797	-	WP_221050133.1	WP_221050133.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		K5621_RS00110	1293	430	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	28794	29747	-					fmt		K5621_RS00115	954		old_locus_tag=TUM17387_00250
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	28794	29747	-	WP_221050134.1	WP_221050134.1		methionyl-tRNA formyltransferase	fmt		K5621_RS00115	954	317	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	29775	30284	-					def		K5621_RS00120	510		old_locus_tag=TUM17387_00260
CDS	with_protein	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	29775	30284	-	WP_100143539.1	WP_100143539.1		peptide deformylase	def		K5621_RS00120	510	169	
gene	protein_coding	GCF_019670705.1	Primary Assembly	chromosome		NZ_AP024618.1	30411	31511	+							K5621_RS00125	1101		old_locus_tag=TUM17387_00270
