# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	1	1374	+					dnaA		JQC75_RS00005	1374		old_locus_tag=JQC75_00005
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	1	1374	+	WP_203325535.1	WP_203325535.1		chromosomal replication initiator protein DnaA	dnaA		JQC75_RS00005	1374	457	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	1394	2494	+					dnaN		JQC75_RS00010	1101		old_locus_tag=JQC75_00010
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	1394	2494	+	WP_203325536.1	WP_203325536.1		DNA polymerase III subunit beta	dnaN		JQC75_RS00010	1101	366	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	2525	3607	+					recF		JQC75_RS00015	1083		old_locus_tag=JQC75_00015
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	2525	3607	+	WP_203325537.1	WP_203325537.1		DNA replication/repair protein RecF	recF		JQC75_RS00015	1083	360	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	3695	6112	+					gyrB		JQC75_RS00020	2418		old_locus_tag=JQC75_00020
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	3695	6112	+	WP_203325538.1	WP_203325538.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		JQC75_RS00020	2418	805	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	6168	6926	-							JQC75_RS00025	759		old_locus_tag=JQC75_00025
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	6168	6926	-	WP_203325539.1	WP_203325539.1		hypothetical protein			JQC75_RS00025	759	252	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	7141	7542	-							JQC75_RS00030	402		old_locus_tag=JQC75_00030
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	7141	7542	-	WP_203325540.1	WP_203325540.1		NUDIX domain-containing protein			JQC75_RS00030	402	133	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	7542	8195	-					pcp		JQC75_RS00035	654		old_locus_tag=JQC75_00035
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	7542	8195	-	WP_203325541.1	WP_203325541.1		pyroglutamyl-peptidase I	pcp		JQC75_RS00035	654	217	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	8207	9190	-							JQC75_RS00040	984		old_locus_tag=JQC75_00040
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	8207	9190	-	WP_203325542.1	WP_203325542.1		DUF979 domain-containing protein			JQC75_RS00040	984	327	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	9187	9927	-							JQC75_RS00045	741		old_locus_tag=JQC75_00045
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	9187	9927	-	WP_203325543.1	WP_203325543.1		DUF969 domain-containing protein			JQC75_RS00045	741	246	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	9917	10642	-					pxpA		JQC75_RS00050	726		old_locus_tag=JQC75_00050
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	9917	10642	-	WP_203325544.1	WP_203325544.1		5-oxoprolinase subunit PxpA	pxpA		JQC75_RS00050	726	241	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	10635	11567	-							JQC75_RS00055	933		old_locus_tag=JQC75_00055
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	10635	11567	-	WP_203325545.1	WP_203325545.1		biotin-dependent carboxyltransferase family protein			JQC75_RS00055	933	310	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	11560	12231	-					pxpB		JQC75_RS00060	672		old_locus_tag=JQC75_00060
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	11560	12231	-	WP_203325546.1	WP_203325546.1		5-oxoprolinase subunit PxpB	pxpB		JQC75_RS00060	672	223	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	12486	13541	+							JQC75_RS00065	1056		old_locus_tag=JQC75_00065
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	12486	13541	+	WP_203325547.1	WP_203325547.1		HDOD domain-containing protein			JQC75_RS00065	1056	351	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	13613	15682	-					glyS		JQC75_RS00070	2070		old_locus_tag=JQC75_00070
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	13613	15682	-	WP_203325548.1	WP_203325548.1		glycine--tRNA ligase subunit beta	glyS		JQC75_RS00070	2070	689	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	15695	16600	-					glyQ		JQC75_RS00075	906		old_locus_tag=JQC75_00075
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	15695	16600	-	WP_203325549.1	WP_203325549.1		glycine--tRNA ligase subunit alpha	glyQ		JQC75_RS00075	906	301	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	16711	17286	+							JQC75_RS00080	576		old_locus_tag=JQC75_00080
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	16711	17286	+	WP_203325550.1	WP_203325550.1		DNA-3-methyladenine glycosylase I			JQC75_RS00080	576	191	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	17402	20590	-							JQC75_RS00085	3189		old_locus_tag=JQC75_00085
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	17402	20590	-	WP_203325551.1	WP_203325551.1		amidohydrolase family protein			JQC75_RS00085	3189	1062	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	20737	20982	-					tusA		JQC75_RS00090	246		old_locus_tag=JQC75_00090
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	20737	20982	-	WP_203325552.1	WP_203325552.1		sulfurtransferase TusA	tusA		JQC75_RS00090	246	81	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	21312	23294	+							JQC75_RS00095	1983		old_locus_tag=JQC75_00095
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	21312	23294	+	WP_203325553.1	WP_203325553.1		methyl-accepting chemotaxis protein			JQC75_RS00095	1983	660	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	23462	23899	+					tnpA		JQC75_RS00100	438		old_locus_tag=JQC75_00100
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	23462	23899	+	WP_203325554.1	WP_203325554.1		IS200/IS605 family transposase	tnpA		JQC75_RS00100	438	145	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	23983	25146	-					fadA		JQC75_RS00105	1164		old_locus_tag=JQC75_00105
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	23983	25146	-	WP_203325555.1	WP_203325555.1		acetyl-CoA C-acyltransferase FadA	fadA		JQC75_RS00105	1164	387	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	25166	27316	-					fadB		JQC75_RS00110	2151		old_locus_tag=JQC75_00110
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	25166	27316	-	WP_203325556.1	WP_203325556.1		fatty acid oxidation complex subunit alpha FadB	fadB		JQC75_RS00110	2151	716	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	27597	28916	+					pepQ		JQC75_RS00115	1320		old_locus_tag=JQC75_00115
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	27597	28916	+	WP_203325557.1	WP_203325557.1		Xaa-Pro dipeptidase	pepQ		JQC75_RS00115	1320	439	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	28919	29539	+							JQC75_RS00120	621		old_locus_tag=JQC75_00120
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	28919	29539	+	WP_203325558.1	WP_203325558.1		YigZ family protein			JQC75_RS00120	621	206	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	29665	31122	+							JQC75_RS00125	1458		old_locus_tag=JQC75_00125
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	29665	31122	+	WP_203325559.1	WP_203325559.1		TrkH family potassium uptake protein			JQC75_RS00125	1458	485	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	31122	31655	+					hemG		JQC75_RS00130	534		old_locus_tag=JQC75_00130
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	31122	31655	+	WP_203325560.1	WP_203325560.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		JQC75_RS00130	534	177	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	31667	31975	-							JQC75_RS00135	309		old_locus_tag=JQC75_00135
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	31667	31975	-	WP_203325561.1	WP_203325561.1		metalloregulator ArsR/SmtB family transcription factor			JQC75_RS00135	309	102	
gene	protein_coding	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	32165	32716	+					hemG		JQC75_RS00140	552		old_locus_tag=JQC75_00140
CDS	with_protein	GCF_016834455.1	Primary Assembly	chromosome		NZ_CP069213.1	32165	32716	+	WP_203327074.1	WP_203327074.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		JQC75_RS00140	552	183	
