# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	112	1494	+					dnaA		CFF01_RS00005	1383		old_locus_tag=CFF01_00005
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	112	1494	+	WP_088903457.1	WP_088903457.1		chromosomal replication initiator protein DnaA	dnaA		CFF01_RS00005	1383	460	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	1514	2614	+					dnaN		CFF01_RS00010	1101		old_locus_tag=CFF01_00010
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	1514	2614	+	WP_033538945.1	WP_033538945.1		DNA polymerase III subunit beta	dnaN		CFF01_RS00010	1101	366	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	2690	3772	+					recF		CFF01_RS00015	1083		old_locus_tag=CFF01_00015
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	2690	3772	+	WP_033538944.1	WP_033538944.1		DNA replication/repair protein RecF	recF		CFF01_RS00015	1083	360	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	3789	6206	+					gyrB		CFF01_RS00020	2418		old_locus_tag=CFF01_00020
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	3789	6206	+	WP_088903458.1	WP_088903458.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CFF01_RS00020	2418	805	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	6335	7063	+							CFF01_RS00025	729		old_locus_tag=CFF01_00025
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	6335	7063	+	WP_088903459.1	WP_088903459.1		hypothetical protein			CFF01_RS00025	729	242	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	7079	7807	-					pxpA		CFF01_RS00030	729		old_locus_tag=CFF01_00030
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	7079	7807	-	WP_088903460.1	WP_088903460.1		5-oxoprolinase subunit PxpA	pxpA		CFF01_RS00030	729	242	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	7797	8729	-							CFF01_RS00035	933		old_locus_tag=CFF01_00035
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	7797	8729	-	WP_088903461.1	WP_088903461.1		biotin-dependent carboxyltransferase family protein			CFF01_RS00035	933	310	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	8726	9385	-					pxpB		CFF01_RS00040	660		old_locus_tag=CFF01_00040
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	8726	9385	-	WP_088903462.1	WP_088903462.1		5-oxoprolinase subunit PxpB	pxpB		CFF01_RS00040	660	219	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	9513	11582	-					glyS		CFF01_RS00045	2070		old_locus_tag=CFF01_00045
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	9513	11582	-	WP_088905830.1	WP_088905830.1		glycine--tRNA ligase subunit beta	glyS		CFF01_RS00045	2070	689	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	11595	12500	-					glyQ		CFF01_RS00050	906		old_locus_tag=CFF01_00050
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	11595	12500	-	WP_033538938.1	WP_033538938.1		glycine--tRNA ligase subunit alpha	glyQ		CFF01_RS00050	906	301	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	12610	13179	+							CFF01_RS00055	570		old_locus_tag=CFF01_00055
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	12610	13179	+	WP_088903463.1	WP_088903463.1		DNA-3-methyladenine glycosylase I			CFF01_RS00055	570	189	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	13185	13823	-							CFF01_RS00060	639		old_locus_tag=CFF01_00060
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	13185	13823	-	WP_088903464.1	WP_088903464.1		hypothetical protein			CFF01_RS00060	639	212	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	14059	17241	-							CFF01_RS00065	3183		old_locus_tag=CFF01_00065
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	14059	17241	-	WP_088903465.1	WP_088903465.1		amidohydrolase family protein			CFF01_RS00065	3183	1060	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	17469	17903	-							CFF01_RS00070	435		old_locus_tag=CFF01_00070
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	17469	17903	-	WP_088903466.1	WP_088903466.1		MOSC domain-containing protein			CFF01_RS00070	435	144	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	18083	18328	-					tusA		CFF01_RS00075	246		old_locus_tag=CFF01_00075
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	18083	18328	-	WP_033538934.1	WP_033538934.1		sulfurtransferase TusA	tusA		CFF01_RS00075	246	81	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	18479	19597	-							CFF01_RS00080	1119		old_locus_tag=CFF01_00080
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	18479	19597	-	WP_088903467.1	WP_088903467.1		GGDEF domain-containing protein			CFF01_RS00080	1119	372	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	19699	20163	-					ybaK		CFF01_RS00085	465		old_locus_tag=CFF01_00085
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	19699	20163	-	WP_088903468.1	WP_088903468.1		Cys-tRNA(Pro) deacylase	ybaK		CFF01_RS00085	465	154	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	20174	20635	-							CFF01_RS00090	462		old_locus_tag=CFF01_00090
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	20174	20635	-	WP_088903469.1	WP_088903469.1		GNAT family N-acetyltransferase			CFF01_RS00090	462	153	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	20806	21969	-					fadA		CFF01_RS00095	1164		old_locus_tag=CFF01_00095
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	20806	21969	-	WP_088903470.1	WP_088903470.1		acetyl-CoA C-acyltransferase FadA	fadA		CFF01_RS00095	1164	387	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	21991	24141	-					fadB		CFF01_RS00100	2151		old_locus_tag=CFF01_00100
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	21991	24141	-	WP_088903471.1	WP_088903471.1		fatty acid oxidation complex subunit alpha FadB	fadB		CFF01_RS00100	2151	716	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	24421	25743	+					pepQ		CFF01_RS00105	1323		old_locus_tag=CFF01_00105
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	24421	25743	+	WP_088903472.1	WP_088903472.1		Xaa-Pro dipeptidase	pepQ		CFF01_RS00105	1323	440	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	25757	26371	+							CFF01_RS00110	615		old_locus_tag=CFF01_00110
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	25757	26371	+	WP_088903473.1	WP_088903473.1		YigZ family protein			CFF01_RS00110	615	204	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	26510	27967	+							CFF01_RS00115	1458		old_locus_tag=CFF01_00115
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	26510	27967	+	WP_033538927.1	WP_033538927.1		TrkH family potassium uptake protein			CFF01_RS00115	1458	485	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	27967	28494	+					hemG		CFF01_RS00120	528		old_locus_tag=CFF01_00120
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	27967	28494	+	WP_033538926.1	WP_033538926.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		CFF01_RS00120	528	175	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	28516	28821	-							CFF01_RS00125	306		old_locus_tag=CFF01_00125
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	28516	28821	-	WP_033538925.1	WP_033538925.1		metalloregulator ArsR/SmtB family transcription factor			CFF01_RS00125	306	101	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	29095	29631	+					hemG		CFF01_RS00130	537		old_locus_tag=CFF01_00130
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	29095	29631	+	WP_088905831.1	WP_088905831.1		menaquinone-dependent protoporphyrinogen IX dehydrogenase	hemG		CFF01_RS00130	537	178	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	29736	30269	+							CFF01_RS00135	534		old_locus_tag=CFF01_00135
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	29736	30269	+	WP_033538924.1	WP_033538924.1		thioesterase family protein			CFF01_RS00135	534	177	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	30593	31240	-							CFF01_RS00140	648		old_locus_tag=CFF01_00140
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	30593	31240	-	WP_033538923.1	WP_033538923.1		glutathione S-transferase family protein			CFF01_RS00140	648	215	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	31322	32227	-							CFF01_RS00145	906		old_locus_tag=CFF01_00145
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	31322	32227	-	WP_088903474.1	WP_088903474.1		LysR family transcriptional regulator			CFF01_RS00145	906	301	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	32413	33102	+							CFF01_RS00150	690		old_locus_tag=CFF01_00150
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	32413	33102	+	WP_088903475.1	WP_088903475.1		DNA-3-methyladenine glycosylase I			CFF01_RS00150	690	229	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	33232	33978	-							CFF01_RS00155	747		old_locus_tag=CFF01_00155
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	33232	33978	-	WP_198387147.1	WP_198387147.1		TorF family putative porin			CFF01_RS00155	747	248	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	34415	35575	+							CFF01_RS00160	1161		old_locus_tag=CFF01_00160
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	34415	35575	+	WP_033538920.1	WP_033538920.1		efflux RND transporter periplasmic adaptor subunit			CFF01_RS00160	1161	386	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	35585	38734	+							CFF01_RS00165	3150		old_locus_tag=CFF01_00165
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	35585	38734	+	WP_088903477.1	WP_088903477.1		efflux RND transporter permease subunit			CFF01_RS00165	3150	1049	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	38856	40697	+							CFF01_RS00170	1842		old_locus_tag=CFF01_00170
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	38856	40697	+	WP_088903478.1	WP_088903478.1		M14 family metallopeptidase			CFF01_RS00170	1842	613	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	40747	41538	-							CFF01_RS00175	792		old_locus_tag=CFF01_00175
CDS	with_protein	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	40747	41538	-	WP_088903479.1	WP_088903479.1		class I SAM-dependent methyltransferase			CFF01_RS00175	792	263	
gene	protein_coding	GCF_002215585.1	Primary Assembly	chromosome		NZ_CP022272.1	41747	42517	+							CFF01_RS00180	771		old_locus_tag=CFF01_00180
